origem,destino,score_passeio,custo_total,tempo_total
Hotel,Cristo Redentor,0.01,132.3,169.01666666666665
Hotel,Jardim Botânico,0.2,27.3,153.08333333333334
Hotel,CCBB,0.25,0.0,169.68333333333334
Hotel,Museu do Amanhã,0.15,30.0,121.46666666666667
Hotel,Pão de Açúcar,0.05,202.5,107.5
Hotel,AquaRio,0.3,120.0,132.23333333333332
Hotel,Theatro Municipal,0.15,20.0,94.01666666666667
Hotel,Parque dos Patins,0.2,34.3,107.85
Hotel,Mosteiro de São Bento,0.3,0.0,54.81666666666666
Hotel,Santa Teresa,0.1,20.0,124.05
Hotel,Forte de Copacabana,0.2,10.3,136.8
Hotel,BioParque do Rio,0.3,55.9,203.75
Hotel,Maracanã,0.25,79.3,112.38333333333334
Hotel,Restaurante Spesso,0.1,75.4,18.316666666666663
Cristo Redentor,Hotel,0.0,4.3,80.95
Cristo Redentor,Jardim Botânico,0.2,31.6,217.16666666666669
Cristo Redentor,CCBB,0.25,4.3,229.6
Cristo Redentor,Museu do Amanhã,0.15,34.3,182.5333333333333
Cristo Redentor,Pão de Açúcar,0.05,203.6,193.88333333333333
Cristo Redentor,AquaRio,0.3,124.3,201.81666666666666
Cristo Redentor,Theatro Municipal,0.15,24.3,172.18333333333334
Cristo Redentor,Parque dos Patins,0.2,38.6,172.05
Cristo Redentor,Mosteiro de São Bento,0.3,4.3,114.86666666666666
Cristo Redentor,Santa Teresa,0.1,24.3,206.41666666666669
Cristo Redentor,Forte de Copacabana,0.2,14.6,185.76666666666668
Cristo Redentor,BioParque do Rio,0.3,55.9,251.66666666666669
Cristo Redentor,Maracanã,0.25,79.3,169.81666666666666
Cristo Redentor,Restaurante Spesso,0.1,67.9,48.0
Jardim Botânico,Hotel,0.0,4.3,44.63333333333333
Jardim Botânico,Cristo Redentor,0.01,136.6,205.45
Jardim Botânico,CCBB,0.25,4.3,192.5
Jardim Botânico,Museu do Amanhã,0.15,38.6,151.28333333333333
Jardim Botânico,Pão de Açúcar,0.05,199.3,121.05
